BEFORE ALS,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.99974,2.14E-05,0.00368951,0.00462889
1,0.999181,6.75E-05,0.00640674,0.00821709
10,0.997788,0.00018235,0.0110944,0.0135037
100,0.990128,0.00081386,0.0232542,0.0285282
1000,0.933329,0.00549613,0.058713,0.0741359
2000,0.820233,0.0148195,0.09847,0.121735
3000,0.749445,0.020655,0.113965,0.143719
4000,0.676145,0.0266977,0.132852,0.163394
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999729,2.23E-05,0.00374621,0.00472292
1,0.999166,6.88E-05,0.0065267,0.00829271
10,0.997497,0.00020636,0.0112753,0.0143651
100,0.981439,0.00153011,0.031304,0.0391166
1000,0.809474,0.0157064,0.101696,0.125325
2000,0.687623,0.0257515,0.127953,0.160473
3000,0.591285,0.0336933,0.148862,0.183557
4000,0.492822,0.0418103,0.169529,0.204476
,,,,
AFTER ALS,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999457,4.48E-05,0.00531874,0.00669288
1,0.998811,9.81E-05,0.00794724,0.00990211
10,0.997031,0.00024473,0.0122881,0.0156438
100,0.987581,0.00102377,0.0252511,0.0319965
1000,0.900149,0.00823146,0.0744771,0.0907274
2000,0.760763,0.019722,0.115569,0.140435
3000,0.691012,0.0254721,0.129535,0.1596
4000,0.552661,0.0368774,0.155722,0.192035
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999804,1.62E-05,0.00321841,0.00402093
1,0.999362,5.26E-05,0.00589119,0.00725402
10,0.998264,0.00014311,0.00921809,0.011963
100,0.990345,0.00079596,0.0229422,0.0282127
1000,0.912876,0.00718227,0.0672707,0.0847483
2000,0.811224,0.0155622,0.101697,0.124748
3000,0.739222,0.0214978,0.118526,0.146621
4000,0.666664,0.0274793,0.132487,0.165769
