BEFORE ALS BACKGROUND REMOVAL,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999731,2.22E-05,0.00387161,0.00471266
1,0.999878,1.01E-05,0.00254951,0.00317503
10,0.999105,7.38E-05,0.00662637,0.00859221
100,0.991646,0.00068887,0.020751,0.0262464
1000,0.91122,0.00732055,0.0687784,0.0855602
2000,0.817097,0.0150817,0.098045,0.122807
3000,0.734813,0.0218666,0.119572,0.147873
4000,0.64945,0.0289053,0.137755,0.170016
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999716,2.34E-05,0.00385148,0.0048421
1,0.999224,6.40E-05,0.00633309,0.00799788
10,0.997086,0.00024025,0.0124042,0.0155
100,0.980517,0.00160649,0.0310411,0.0400811
1000,0.806533,0.0159528,0.103107,0.126304
2000,0.626799,0.0307731,0.141631,0.175423
3000,0.490556,0.0420073,0.166719,0.204957
4000,0.346643,0.0538739,0.187164,0.232108
,,,,
,,,,
AFTER ALS BACKGROUND REMOVAL,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999682,2.62E-05,0.00405597,0.00511975
1,0.999229,6.36E-05,0.00604457,0.00797237
10,0.997154,0.00023471,0.0122449,0.0153201
100,0.983697,0.00134428,0.0290434,0.0366644
1000,0.875395,0.0102746,0.0812046,0.101363
2000,0.773083,0.0187109,0.108888,0.136788
3000,0.61024,0.0321385,0.148291,0.179272
4000,0.582174,0.0344527,0.151102,0.185614
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999807,1.59E-05,0.00322566,0.00398699
1,0.999555,3.67E-05,0.00476429,0.0060582
10,0.998184,0.00014974,0.00986943,0.0122368
100,0.990233,0.00080534,0.0224893,0.0283785
1000,0.911165,0.00732511,0.0668651,0.0855869
2000,0.789764,0.0173354,0.101118,0.131664
3000,0.725352,0.0226466,0.120292,0.150488
4000,0.617683,0.0315247,0.142294,0.177552
