BEFORE BACKGROUND REMOVAL,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999757,2.00E-05,0.00355585,0.00447626
1,0.921998,0.00643181,0.0697018,0.0801986
10,0.154545,0.0697137,0.222703,0.264034
100,-0.0021382,0.0826334,0.249529,0.28746
1000,-0.0020054,0.0826225,0.249678,0.287441
2000,-0.0088843,0.0831897,0.250729,0.288426
3000,-0.0027004,0.0826798,0.249579,0.287541
4000,-0.0030592,0.0827093,0.249674,0.287592
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999737,2.17E-05,0.0037452,0.00465633
1,0.998939,8.75E-05,0.00760067,0.00935197
10,0.971145,0.0023793,0.0400852,0.048778
100,0.753477,0.0203276,0.10895,0.142575
1000,-0.0069544,0.0830305,0.250209,0.28815
2000,-0.002872,0.0826939,0.249566,0.287565
3000,0.00735862,0.0818503,0.248257,0.286095
4000,-0.0017203,0.0825989,0.249228,0.2874
,,,,
,,,,
AFTER DWT BACKGROUND REMOVAL,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.99892,8.90E-05,0.00746417,0.00943622
1,0.99818,0.00015011,0.00993359,0.012252
10,0.993458,0.00053943,0.0190133,0.0232256
100,0.976774,0.00191515,0.0341866,0.0437624
1000,0.797441,0.0167024,0.104349,0.129238
2000,0.380832,0.0510548,0.188805,0.225953
3000,0.297891,0.0578938,0.195671,0.240611
4000,0.218365,0.0644514,0.214482,0.253873
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999605,3.25E-05,0.0045833,0.00570369
1,0.999345,5.40E-05,0.00588228,0.00734692
10,0.997152,0.00023483,0.0119873,0.0153242
100,0.990819,0.00075703,0.0223705,0.0275142
1000,0.891005,0.00898744,0.0763122,0.0948021
2000,0.641057,0.0295974,0.139338,0.172039
3000,0.590375,0.0337765,0.151515,0.183784
4000,0.207953,0.0653099,0.217446,0.255558
