ENLIGHTEN Version,2.2.7
Measurement ID,,,20220729-112920-595255-WP-00643,,,20220729-112921-618427-WP-00643,,,20220729-112923-506567-WP-00643,,,20220729-112924-611414-WP-00643,,,20220729-112925-347411-WP-00643,,,20220729-112926-523059-WP-00643,,,20220729-112927-450364-WP-00643,,,20220729-112928-089515-WP-00643,,,20220729-112928-938368-WP-00643,,,20220729-112930-051264-WP-00643,,
Serial Number,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,
Model,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,
Label,,,11:29:20 WP-00643,,,11:29:21 WP-00643,,,11:29:23 WP-00643,,,11:29:24 WP-00643,,,11:29:25 WP-00643,,,11:29:26 WP-00643,,,11:29:27 WP-00643,,,11:29:28 WP-00643,,,11:29:28 WP-00643,,,11:29:30 WP-00643,,
Declared Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Scan Averaging,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
Boxcar,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Technique,,,Scope,,,Scope,,,Scope,,,Scope,,,Scope,,,Scope,,,Scope,,,Scope,,,Scope,,,Scope,,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROI Pixel Start,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
ROI Pixel End,,,1023,,,1023,,,1023,,,1023,,,1023,,,1023,,,1023,,,1023,,,1023,,,1023,,
Slit Width,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,
Vignetted,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,
Interpolated,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,
Raman Intensity Corrected,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,
Deconvolved,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,
Integration Time,,,200,,,200,,,200,,,200,,,200,,,200,,,200,,,200,,,200,,,200,,
Timestamp,,,2022-07-29 11:29:20.595255,,,2022-07-29 11:29:21.618427,,,2022-07-29 11:29:23.506567,,,2022-07-29 11:29:24.611414,,,2022-07-29 11:29:25.347411,,,2022-07-29 11:29:26.523059,,,2022-07-29 11:29:27.450364,,,2022-07-29 11:29:28.089515,,,2022-07-29 11:29:28.938368,,,2022-07-29 11:29:30.051264,,
Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,,,10.044919776654524,,,10.010850297268917,,,10.02788583696173,,,10.010850297268917,,,10.044919776654524,,,10.044919776654524,,,10.010850297268917,,,10.02788583696173,,,10.010850297268917,,,10.010850297268917,,
