ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151318-179828-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:13:18 WP-00643
Declared Match,,,
Declared Score,,,0
Scan Averaging,,,100
Boxcar,,,0
Technique,,,
Baseline Correction Algo,,,
ROI Pixel Start,,,0
ROI Pixel End,,,1023
CCD C4,,,0
Slit Width,,,50
Vignetted,,,True
Interpolated,,,False
Wavenumber Correction,,,0
Raman Intensity Corrected,,,False
Deconvolved,,,False
Region,,,
Laser Power mW,,,
Battery %,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:20:7>
FW Version,,,10.0.0.7
FPGA Version,,,028-007
Integration Time,,,50
Timestamp,,,2023-04-19 15:13:18.179828
Note,,,
Temperature,,,10.044919776654524
CCD C0,,,801.6218872070312
CCD C1,,,0.14136843383312225
CCD C2,,,-5.6535209296271205e-06
CCD C3,,,-8.444376753402594e-09
CCD Offset,,,0
CCD Gain,,,1.9
CCD Offset Odd,,,0
CCD Gain Odd,,,1.9
Laser Wavelength,,,784.816
Laser Enable,,,True
Laser Power %,,,100.0
Laser Temperature,,,-95.6635622537485
Pixel Count,,,1024

WP-00643,,,15:13:18 WP-00643
Pixel,Wavelength,Wavenumber,Processed
0,801.62,267.13,6679.58
1,801.76,269.33,6971.14
2,801.90,271.53,7123.16
3,802.05,273.73,7219.39
4,802.19,275.92,7275.23
5,802.33,278.12,7333.68
6,802.47,280.31,7374.31
7,802.61,282.51,7435.89
8,802.75,284.70,7456.76
9,802.89,286.89,7506.02
10,803.03,289.08,7518.11
11,803.18,291.27,7549.34
12,803.32,293.46,7566.06
13,803.46,295.65,7592.87
14,803.60,297.84,7618.63
15,803.74,300.02,7625.44
16,803.88,302.21,7645.95
17,804.02,304.39,7665.19
18,804.16,306.58,7675.41
19,804.31,308.76,7676.90
20,804.45,310.94,7688.86
21,804.59,313.12,7713.38
22,804.73,315.30,7750.29
23,804.87,317.48,7765.42
24,805.01,319.66,7793.92
25,805.15,321.83,7817.99
26,805.29,324.01,7843.28
27,805.43,326.18,7882.58
28,805.58,328.36,7901.68
29,805.72,330.53,7906.75
30,805.86,332.70,7918.65
31,806.00,334.87,7943.12
32,806.14,337.04,7942.50
33,806.28,339.21,7974.36
34,806.42,341.38,7982.59
35,806.56,343.54,8010.26
36,806.70,345.71,8032.18
37,806.84,347.88,8040.93
38,806.99,350.04,8074.28
39,807.13,352.20,8093.25
40,807.27,354.37,8128.31
41,807.41,356.53,8144.54
42,807.55,358.69,8175.87
43,807.69,360.85,8206.19
44,807.83,363.00,8241.57
45,807.97,365.16,8272.73
46,808.11,367.32,8299.76
47,808.25,369.47,8324.83
48,808.39,371.63,8357.61
49,808.53,373.78,8371.38
50,808.68,375.93,8387.31
51,808.82,378.09,8400.80
52,808.96,380.24,8407.18
53,809.10,382.39,8433.30
54,809.24,384.54,8453.77
55,809.38,386.68,8477.03
56,809.52,388.83,8510.00
57,809.66,390.98,8525.34
58,809.80,393.12,8551.39
59,809.94,395.27,8577.34
60,810.08,397.41,8598.25
61,810.22,399.55,8607.90
62,810.36,401.69,8630.50
63,810.50,403.83,8671.73
64,810.64,405.97,8672.91
65,810.78,408.11,8693.50
66,810.93,410.25,8719.27
67,811.07,412.38,8748.82
68,811.21,414.52,8754.54
69,811.35,416.65,8801.18
70,811.49,418.79,8806.07
71,811.63,420.92,8815.88
72,811.77,423.05,8844.81
73,811.91,425.18,8854.23
74,812.05,427.31,8870.05
75,812.19,429.44,8876.08
76,812.33,431.56,8913.88
77,812.47,433.69,8931.69
78,812.61,435.82,8946.04
79,812.75,437.94,8969.60
80,812.89,440.07,8987.25
81,813.03,442.19,9012.62
82,813.17,444.31,9030.60
83,813.31,446.43,9049.48
84,813.45,448.55,9048.46
85,813.59,450.67,9086.54
86,813.73,452.79,9089.57
87,813.87,454.90,9104.66
88,814.01,457.02,9123.34
89,814.15,459.14,9135.97
90,814.29,461.25,9142.47
91,814.43,463.36,9160.68
92,814.57,465.47,9170.28
93,814.71,467.59,9172.12
94,814.85,469.70,9171.44
95,814.99,471.81,9176.88
96,815.13,473.91,9176.08
97,815.27,476.02,9184.00
98,815.41,478.13,9193.62
99,815.55,480.23,9199.55
100,815.69,482.34,9230.90
101,815.83,484.44,9247.04
102,815.97,486.54,9277.09
103,816.11,488.64,9291.73
104,816.25,490.74,9322.02
105,816.39,492.84,9352.87
106,816.53,494.94,9377.40
107,816.67,497.04,9413.85
108,816.81,499.14,9427.35
109,816.95,501.23,9464.87
110,817.09,503.33,9491.10
111,817.23,505.42,9517.98
112,817.37,507.51,9543.77
113,817.51,509.61,9573.65
114,817.65,511.70,9609.03
115,817.79,513.79,9619.36
116,817.93,515.88,9650.10
117,818.07,517.96,9688.29
118,818.21,520.05,9691.46
119,818.35,522.14,9735.44
120,818.49,524.22,9736.12
121,818.63,526.31,9760.03
122,818.77,528.39,9760.24
123,818.91,530.47,9778.16
124,819.05,532.55,9799.96
125,819.19,534.63,9808.91
126,819.33,536.71,9831.26
127,819.47,538.79,9861.24
128,819.61,540.87,9858.82
129,819.75,542.94,9904.47
130,819.89,545.02,9918.52
131,820.03,547.09,9930.27
132,820.16,549.17,9977.95
133,820.30,551.24,9981.30
134,820.44,553.31,10000.20
135,820.58,555.38,10035.26
136,820.72,557.45,10057.57
137,820.86,559.52,10066.93
138,821.00,561.59,10114.77
139,821.14,563.65,10161.01
140,821.28,565.72,10147.93
141,821.42,567.78,10186.46
142,821.56,569.85,10204.98
143,821.70,571.91,10209.05
144,821.84,573.97,10230.27
145,821.98,576.03,10227.20
146,822.11,578.09,10255.75
