ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151708-452683-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:17:08 WP-00643
Declared Match,,,
Declared Score,,,0
Scan Averaging,,,100
Boxcar,,,0
Technique,,,
Baseline Correction Algo,,,
ROI Pixel Start,,,0
ROI Pixel End,,,1023
CCD C4,,,0
Slit Width,,,50
Vignetted,,,True
Interpolated,,,False
Wavenumber Correction,,,0
Raman Intensity Corrected,,,False
Deconvolved,,,False
Region,,,
Laser Power mW,,,
Battery %,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:20:7>
FW Version,,,10.0.0.7
FPGA Version,,,028-007
Integration Time,,,50
Timestamp,,,2023-04-19 15:17:08.452683
Note,,,
Temperature,,,10.02788583696173
CCD C0,,,801.6218872070312
CCD C1,,,0.14136843383312225
CCD C2,,,-5.6535209296271205e-06
CCD C3,,,-8.444376753402594e-09
CCD Offset,,,0
CCD Gain,,,1.9
CCD Offset Odd,,,0
CCD Gain Odd,,,1.9
Laser Wavelength,,,784.816
Laser Enable,,,True
Laser Power %,,,100.0
Laser Temperature,,,-95.6635622537485
Pixel Count,,,1024

WP-00643,,,15:17:08 WP-00643
Pixel,Wavelength,Wavenumber,Processed
0,801.62,267.13,32600.56
1,801.76,269.33,34159.77
2,801.90,271.53,35044.96
3,802.05,273.73,35561.14
4,802.19,275.92,35907.77
5,802.33,278.12,36180.67
6,802.47,280.31,36435.65
7,802.61,282.51,36723.86
8,802.75,284.70,36867.80
9,802.89,286.89,37078.30
10,803.03,289.08,37181.95
11,803.18,291.27,37309.15
12,803.32,293.46,37447.96
13,803.46,295.65,37515.54
14,803.60,297.84,37672.46
15,803.74,300.02,37747.41
16,803.88,302.21,37795.62
17,804.02,304.39,37872.47
18,804.16,306.58,37922.10
19,804.31,308.76,37941.96
20,804.45,310.94,38019.53
21,804.59,313.12,38080.18
22,804.73,315.30,38293.91
23,804.87,317.48,38336.28
24,805.01,319.66,38455.49
25,805.15,321.83,38631.65
26,805.29,324.01,38674.46
27,805.43,326.18,38844.30
28,805.58,328.36,38930.49
29,805.72,330.53,38973.44
30,805.86,332.70,39031.82
31,806.00,334.87,39102.36
32,806.14,337.04,39113.23
33,806.28,339.21,39231.68
34,806.42,341.38,39244.07
35,806.56,343.54,39362.40
36,806.70,345.71,39494.89
37,806.84,347.88,39510.05
38,806.99,350.04,39655.20
39,807.13,352.20,39730.31
40,807.27,354.37,39882.63
41,807.41,356.53,39972.02
42,807.55,358.69,40144.23
43,807.69,360.85,40223.39
44,807.83,363.00,40391.75
45,807.97,365.16,40485.98
46,808.11,367.32,40571.29
47,808.25,369.47,40690.23
48,808.39,371.63,40770.96
49,808.53,373.78,40776.40
50,808.68,375.93,40874.16
51,808.82,378.09,40909.69
52,808.96,380.24,40935.10
53,809.10,382.39,41030.68
54,809.24,384.54,41085.86
55,809.38,386.68,41172.29
56,809.52,388.83,41292.29
57,809.66,390.98,41382.82
58,809.80,393.12,41479.96
59,809.94,395.27,41585.57
60,810.08,397.41,41672.34
61,810.22,399.55,41716.69
62,810.36,401.69,41765.55
63,810.50,403.83,41928.92
64,810.64,405.97,41920.53
65,810.78,408.11,41987.61
66,810.93,410.25,42011.70
67,811.07,412.38,42166.71
68,811.21,414.52,42150.83
69,811.35,416.65,42329.89
70,811.49,418.79,42348.93
71,811.63,420.92,42377.60
72,811.77,423.05,42475.00
73,811.91,425.18,42477.81
74,812.05,427.31,42502.03
75,812.19,429.44,42567.03
76,812.33,431.56,42645.73
77,812.47,433.69,42719.05
78,812.61,435.82,42781.35
79,812.75,437.94,42925.06
80,812.89,440.07,42954.00
81,813.03,442.19,43011.42
82,813.17,444.31,43049.44
83,813.31,446.43,43139.39
84,813.45,448.55,43124.25
85,813.59,450.67,43197.17
86,813.73,452.79,43226.39
87,813.87,454.90,43216.68
88,814.01,457.02,43272.86
89,814.15,459.14,43319.33
90,814.29,461.25,43335.44
91,814.43,463.36,43382.86
92,814.57,465.47,43387.62
93,814.71,467.59,43419.94
94,814.85,469.70,43405.24
95,814.99,471.81,43407.25
96,815.13,473.91,43440.69
97,815.27,476.02,43444.76
98,815.41,478.13,43464.64
99,815.55,480.23,43436.27
100,815.69,482.34,43500.10
101,815.83,484.44,43536.81
102,815.97,486.54,43596.09
103,816.11,488.64,43605.41
104,816.25,490.74,43711.72
105,816.39,492.84,43820.43
106,816.53,494.94,43858.14
107,816.67,497.04,44005.28
108,816.81,499.14,44072.85
109,816.95,501.23,44203.31
110,817.09,503.33,44290.49
111,817.23,505.42,44395.99
112,817.37,507.51,44467.71
113,817.51,509.61,44554.54
114,817.65,511.70,44647.96
115,817.79,513.79,44709.61
116,817.93,515.88,44822.19
117,818.07,517.96,44937.34
118,818.21,520.05,44963.18
119,818.35,522.14,45104.73
120,818.49,524.22,45107.06
121,818.63,526.31,45163.25
122,818.77,528.39,45142.06
123,818.91,530.47,45120.46
124,819.05,532.55,45201.69
125,819.19,534.63,45220.51
126,819.33,536.71,45290.46
127,819.47,538.79,45396.95
128,819.61,540.87,45398.33
129,819.75,542.94,45495.65
130,819.89,545.02,45529.03
131,820.03,547.09,45542.77
132,820.16,549.17,45659.88
133,820.30,551.24,45652.35
134,820.44,553.31,45684.68
135,820.58,555.38,45803.31
136,820.72,557.45,45819.99
137,820.86,559.52,45847.37
138,821.00,561.59,45993.17
139,821.14,563.65,46146.38
140,821.28,565.72,46038.28
141,821.42,567.78,46211.73
142,821.56,569.85,46226.92
143,821.70,571.91,46245.97
144,821.84,573.97,46238.82
145,821.98,576.03,46193.87
146,822.11,578.09,46256.14
