ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151809-671888-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:09 WP-00643
Declared Match,,,
Declared Score,,,0
Scan Averaging,,,100
Boxcar,,,0
Technique,,,
Baseline Correction Algo,,,
ROI Pixel Start,,,0
ROI Pixel End,,,1023
CCD C4,,,0
Slit Width,,,50
Vignetted,,,True
Interpolated,,,False
Wavenumber Correction,,,0
Raman Intensity Corrected,,,False
Deconvolved,,,False
Region,,,
Laser Power mW,,,
Battery %,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:20:7>
FW Version,,,10.0.0.7
FPGA Version,,,028-007
Integration Time,,,50
Timestamp,,,2023-04-19 15:18:09.671888
Note,,,
Temperature,,,10.0619521163473
CCD C0,,,801.6218872070312
CCD C1,,,0.14136843383312225
CCD C2,,,-5.6535209296271205e-06
CCD C3,,,-8.444376753402594e-09
CCD Offset,,,0
CCD Gain,,,1.9
CCD Offset Odd,,,0
CCD Gain Odd,,,1.9
Laser Wavelength,,,784.816
Laser Enable,,,True
Laser Power %,,,100.0
Laser Temperature,,,-95.6635622537485
Pixel Count,,,1024

WP-00643,,,15:18:09 WP-00643
Pixel,Wavelength,Wavenumber,Processed
0,801.62,267.13,1141.73
1,801.76,269.33,1195.18
2,801.90,271.53,1284.17
3,802.05,273.73,1424.28
4,802.19,275.92,1617.91
5,802.33,278.12,1877.36
6,802.47,280.31,2207.38
7,802.61,282.51,2613.10
8,802.75,284.70,2955.68
9,802.89,286.89,3041.49
10,803.03,289.08,2863.69
11,803.18,291.27,2501.74
12,803.32,293.46,2007.83
13,803.46,295.65,1536.94
14,803.60,297.84,1280.29
15,803.74,300.02,1171.29
16,803.88,302.21,1119.65
17,804.02,304.39,1086.94
18,804.16,306.58,1066.11
19,804.31,308.76,1049.68
20,804.45,310.94,1036.12
21,804.59,313.12,1022.53
22,804.73,315.30,1015.29
23,804.87,317.48,1009.59
24,805.01,319.66,1003.49
25,805.15,321.83,998.42
26,805.29,324.01,994.49
27,805.43,326.18,988.00
28,805.58,328.36,985.43
29,805.72,330.53,982.42
30,805.86,332.70,979.43
31,806.00,334.87,979.94
32,806.14,337.04,974.06
33,806.28,339.21,973.35
34,806.42,341.38,969.10
35,806.56,343.54,969.79
36,806.70,345.71,965.53
37,806.84,347.88,966.96
38,806.99,350.04,970.23
39,807.13,352.20,978.66
40,807.27,354.37,989.96
41,807.41,356.53,1007.55
42,807.55,358.69,1032.98
43,807.69,360.85,1067.48
44,807.83,363.00,1109.75
45,807.97,365.16,1160.79
46,808.11,367.32,1222.34
47,808.25,369.47,1294.99
48,808.39,371.63,1375.78
49,808.53,373.78,1456.75
50,808.68,375.93,1510.70
51,808.82,378.09,1514.34
52,808.96,380.24,1466.19
53,809.10,382.39,1374.34
54,809.24,384.54,1267.39
55,809.38,386.68,1175.88
56,809.52,388.83,1125.40
57,809.66,390.98,1135.43
58,809.80,393.12,1206.75
59,809.94,395.27,1356.44
60,810.08,397.41,1614.68
61,810.22,399.55,2019.68
62,810.36,401.69,2521.47
63,810.50,403.83,2909.98
64,810.64,405.97,3158.14
65,810.78,408.11,3298.55
66,810.93,410.25,3133.09
67,811.07,412.38,2684.32
68,811.21,414.52,2243.98
69,811.35,416.65,1824.95
70,811.49,418.79,1386.53
71,811.63,420.92,1125.51
72,811.77,423.05,1043.74
73,811.91,425.18,1046.86
74,812.05,427.31,1097.03
75,812.19,429.44,1197.41
76,812.33,431.56,1353.28
77,812.47,433.69,1556.92
78,812.61,435.82,1775.06
79,812.75,437.94,1931.53
80,812.89,440.07,1930.58
81,813.03,442.19,1801.87
82,813.17,444.31,1590.40
83,813.31,446.43,1341.95
84,813.45,448.55,1134.95
85,813.59,450.67,1027.94
86,813.73,452.79,985.40
87,813.87,454.90,966.47
88,814.01,457.02,958.48
89,814.15,459.14,951.94
90,814.29,461.25,946.31
91,814.43,463.36,942.62
92,814.57,465.47,941.34
93,814.71,467.59,937.60
94,814.85,469.70,935.43
95,814.99,471.81,933.54
96,815.13,473.91,931.02
97,815.27,476.02,930.37
98,815.41,478.13,928.86
99,815.55,480.23,929.15
100,815.69,482.34,927.25
101,815.83,484.44,926.07
102,815.97,486.54,926.03
103,816.11,488.64,925.74
104,816.25,490.74,925.97
105,816.39,492.84,925.67
106,816.53,494.94,926.61
107,816.67,497.04,925.61
108,816.81,499.14,928.15
109,816.95,501.23,927.87
110,817.09,503.33,930.35
111,817.23,505.42,928.41
112,817.37,507.51,928.01
113,817.51,509.61,929.79
114,817.65,511.70,928.68
115,817.79,513.79,929.37
116,817.93,515.88,932.00
117,818.07,517.96,932.71
118,818.21,520.05,937.58
119,818.35,522.14,946.06
120,818.49,524.22,953.22
121,818.63,526.31,964.05
122,818.77,528.39,973.92
123,818.91,530.47,987.30
124,819.05,532.55,997.99
125,819.19,534.63,1007.81
126,819.33,536.71,1016.22
127,819.47,538.79,1025.04
128,819.61,540.87,1032.91
129,819.75,542.94,1048.11
130,819.89,545.02,1067.58
131,820.03,547.09,1102.41
132,820.16,549.17,1163.70
133,820.30,551.24,1266.57
134,820.44,553.31,1437.26
135,820.58,555.38,1718.64
136,820.72,557.45,2169.71
137,820.86,559.52,2811.59
138,821.00,561.59,3545.56
139,821.14,563.65,4049.73
140,821.28,565.72,4108.09
141,821.42,567.78,3794.71
142,821.56,569.85,3145.81
143,821.70,571.91,2353.32
144,821.84,573.97,1732.65
145,821.98,576.03,1394.76
146,822.11,578.09,1237.95
147,822.25,580.15,1158.92
148,822.39,582.21,1122.27
149,822.53,584.26,1104.68
150,822.67,586.32,1093.47
