ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151847-272046-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:47 WP-00643
Declared Match,,,
Declared Score,,,0
Scan Averaging,,,100
Boxcar,,,0
Technique,,,
Baseline Correction Algo,,,
ROI Pixel Start,,,0
ROI Pixel End,,,1023
CCD C4,,,0
Slit Width,,,50
Vignetted,,,True
Interpolated,,,False
Wavenumber Correction,,,0
Raman Intensity Corrected,,,False
Deconvolved,,,False
Region,,,
Laser Power mW,,,
Battery %,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:20:7>
FW Version,,,10.0.0.7
FPGA Version,,,028-007
Integration Time,,,50
Timestamp,,,2023-04-19 15:18:47.272046
Note,,,
Temperature,,,10.078982856040057
CCD C0,,,801.6218872070312
CCD C1,,,0.14136843383312225
CCD C2,,,-5.6535209296271205e-06
CCD C3,,,-8.444376753402594e-09
CCD Offset,,,0
CCD Gain,,,1.9
CCD Offset Odd,,,0
CCD Gain Odd,,,1.9
Laser Wavelength,,,784.816
Laser Enable,,,True
Laser Power %,,,100.0
Laser Temperature,,,-95.6635622537485
Pixel Count,,,1024

WP-00643,,,15:18:47 WP-00643
Pixel,Wavelength,Wavenumber,Processed
0,801.62,267.13,1414.82
1,801.76,269.33,1600.34
2,801.90,271.53,1810.76
3,802.05,273.73,2035.36
4,802.19,275.92,2258.59
5,802.33,278.12,2436.62
6,802.47,280.31,2496.20
7,802.61,282.51,2411.92
8,802.75,284.70,2205.64
9,802.89,286.89,1917.38
10,803.03,289.08,1611.43
11,803.18,291.27,1369.24
12,803.32,293.46,1208.80
13,803.46,295.65,1109.41
14,803.60,297.84,1044.84
15,803.74,300.02,1004.40
16,803.88,302.21,978.86
17,804.02,304.39,954.47
18,804.16,306.58,937.03
19,804.31,308.76,925.29
20,804.45,310.94,914.02
21,804.59,313.12,905.20
22,804.73,315.30,900.00
23,804.87,317.48,895.16
24,805.01,319.66,891.04
25,805.15,321.83,885.82
26,805.29,324.01,883.02
27,805.43,326.18,879.84
28,805.58,328.36,878.54
29,805.72,330.53,876.02
30,805.86,332.70,874.04
31,806.00,334.87,873.18
32,806.14,337.04,870.15
33,806.28,339.21,869.53
34,806.42,341.38,867.33
35,806.56,343.54,870.60
36,806.70,345.71,866.00
37,806.84,347.88,864.86
38,806.99,350.04,866.58
39,807.13,352.20,863.99
40,807.27,354.37,864.66
41,807.41,356.53,862.91
42,807.55,358.69,863.77
43,807.69,360.85,862.95
44,807.83,363.00,862.84
45,807.97,365.16,862.95
46,808.11,367.32,862.43
47,808.25,369.47,861.60
48,808.39,371.63,861.26
49,808.53,373.78,862.67
50,808.68,375.93,860.88
51,808.82,378.09,861.15
52,808.96,380.24,859.82
53,809.10,382.39,859.25
54,809.24,384.54,860.34
55,809.38,386.68,859.54
56,809.52,388.83,858.29
57,809.66,390.98,858.14
58,809.80,393.12,859.56
59,809.94,395.27,858.06
60,810.08,397.41,857.92
61,810.22,399.55,857.71
62,810.36,401.69,856.75
63,810.50,403.83,856.88
64,810.64,405.97,857.09
65,810.78,408.11,855.90
66,810.93,410.25,856.98
67,811.07,412.38,856.04
68,811.21,414.52,856.15
69,811.35,416.65,857.71
70,811.49,418.79,856.37
71,811.63,420.92,856.39
72,811.77,423.05,855.46
73,811.91,425.18,855.92
74,812.05,427.31,855.91
75,812.19,429.44,855.67
76,812.33,431.56,854.27
77,812.47,433.69,854.27
78,812.61,435.82,855.70
79,812.75,437.94,854.30
80,812.89,440.07,854.09
81,813.03,442.19,853.55
82,813.17,444.31,854.55
83,813.31,446.43,854.01
84,813.45,448.55,852.28
85,813.59,450.67,852.81
86,813.73,452.79,852.58
87,813.87,454.90,851.82
88,814.01,457.02,853.04
89,814.15,459.14,851.34
90,814.29,461.25,850.41
91,814.43,463.36,849.86
92,814.57,465.47,850.95
93,814.71,467.59,848.96
94,814.85,469.70,850.36
95,814.99,471.81,848.07
96,815.13,473.91,848.29
97,815.27,476.02,848.07
98,815.41,478.13,848.03
99,815.55,480.23,848.48
100,815.69,482.34,848.22
101,815.83,484.44,848.25
102,815.97,486.54,848.11
103,816.11,488.64,847.92
104,816.25,490.74,847.62
105,816.39,492.84,847.14
106,816.53,494.94,846.79
107,816.67,497.04,844.08
108,816.81,499.14,844.54
109,816.95,501.23,843.99
110,817.09,503.33,844.66
111,817.23,505.42,842.99
112,817.37,507.51,839.80
113,817.51,509.61,840.81
114,817.65,511.70,840.34
115,817.79,513.79,839.41
116,817.93,515.88,838.38
117,818.07,517.96,839.12
118,818.21,520.05,837.03
119,818.35,522.14,837.86
120,818.49,524.22,838.32
121,818.63,526.31,837.79
122,818.77,528.39,837.47
123,818.91,530.47,836.11
124,819.05,532.55,837.35
125,819.19,534.63,836.39
126,819.33,536.71,835.51
127,819.47,538.79,835.42
128,819.61,540.87,834.26
129,819.75,542.94,838.17
130,819.89,545.02,834.53
131,820.03,547.09,834.88
132,820.16,549.17,835.32
133,820.30,551.24,836.34
134,820.44,553.31,834.12
135,820.58,555.38,835.74
136,820.72,557.45,836.71
137,820.86,559.52,834.70
138,821.00,561.59,835.11
139,821.14,563.65,834.14
140,821.28,565.72,833.87
141,821.42,567.78,835.77
142,821.56,569.85,834.74
143,821.70,571.91,834.29
144,821.84,573.97,834.06
145,821.98,576.03,835.00
146,822.11,578.09,834.98
147,822.25,580.15,834.24
148,822.39,582.21,833.84
149,822.53,584.26,834.54
150,822.67,586.32,832.78
151,822.81,588.37,833.05
152,822.95,590.43,834.16
153,823.09,592.48,833.64
154,823.23,594.53,833.90
155,823.37,596.58,835.13
156,823.51,598.63,833.91
