Benzophenone,Alanine,Oatmeal agar,Oatmeal agar (raw),Wavenumber,Wavelength
1141.73,3833.875808,34997.08306,32600.56,267.1014714,801.62
1195.18,4217.006021,35107.18236,34159.77,269.2797584,801.76
1284.17,4643.638249,35218.86511,35044.96,271.4572848,801.9
1424.28,5118.8725,35331.99583,35561.14,273.7895053,802.05
1617.91,5581.408783,35446.43814,35907.77,275.9654575,802.19
1877.36,5989.647106,35562.05683,36180.67,278.1406503,802.33
2207.38,6264.987475,35678.71898,36435.65,280.3150841,802.47
2613.1,6353.6299,35796.29478,36723.86,282.4887594,802.61
2955.68,6142.374388,35914.65819,36867.8,284.6616765,802.75
3041.49,5677.520946,36033.68781,37078.3,286.8338358,802.89
2863.69,5067.469583,36153.26701,37181.95,289.0052377,803.03
2501.74,4428.320306,36273.28439,37309.15,291.3308998,803.18
2007.83,3859.673123,36393.63367,37447.96,293.5007341,803.32
1536.94,3495.628042,36514.21378,37515.54,295.6698122,803.46
1280.29,3271.48507,36634.9289,37672.46,297.8381345,803.6
1171.29,3111.944215,36755.68822,37747.41,300.0057015,803.74
1119.65,2998.505484,36876.40613,37795.62,302.1725135,803.88
1086.94,2816.768886,36997.00195,37872.47,304.3385709,804.02
1066.11,2694.734428,37117.39964,37922.1,306.5038741,804.16
1049.68,2605.702117,37237.52749,37941.96,308.8230053,804.31
1036.12,2558.271961,37357.31785,38019.53,310.9867475,804.45
1022.53,2570.543968,37476.70657,38080.18,313.1497367,804.59
1015.29,2645.618145,37595.63282,38293.91,315.3119733,804.73
1009.59,2771.294499,37714.0388,38336.28,317.4734577,804.87
1003.49,2875.573039,37831.87017,38455.49,319.6341903,805.01
998.42,2998.853772,37949.07573,38631.65,321.7941714,805.15
994.49,3093.436705,38065.60738,38674.46,323.9534015,805.29
988,3113.721846,38181.42044,38844.3,326.111881,805.43
985.43,3064.609202,38296.47329,38930.49,328.4237051,805.58
982.42,3009.79878,38410.72759,38973.44,330.580631,805.72
